,player_id,name,position,combine_player_ids,season_played,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_attempts,kick_return_yards,kick_return_touchdowns,punt_return_attempts,punt_return_yards,punt_return_touchdowns,defense_sacks,defense_tackles,defense_tackle_assists,defense_interceptions,defense_interception_yards,defense_interception_touchdowns,defense_safeties,point_after_attempts,point_after_makes,field_goal_attempts,field_goal_makes,punting_attempts,punting_yards,punting_blocked,passing_attempts_average,passing_completions_average,passing_yards_average,passing_rating_average,passing_touchdowns_average,passing_interceptions_average,passing_sacks_average,passing_sacks_yards_lost_average,rushing_attempts_average,rushing_yards_average,rushing_touchdowns_average,receiving targets_average,receiving_receptions_average,receiving_yards_average,receiving_touchdowns_average,kick_return_attempts_average,kick_return_yards_average,kick_return_touchdowns_average,punt_return_attempts_average,punt_return_yards_average,punt_return_touchdowns_average,defense_sacks_average,defense_tackles_average,defense_tackle_assists_average,defense_interceptions_average,defense_interception_yards_average,defense_interception_touchdowns_average,defense_safeties_average,point_after_attempts_average,point_after_makes_average,field_goal_attempts_average,field_goal_makes_average,punting_attempts_average,punting_yards_average,punting_blocked_average,heights,weights,hands,age,arm,40_dash,vertical,bench,shuttle,broad,3_cone,60_shuttle,wonderlic
23212,13845,Sam Madison,DB,19970044,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,2,3,1,38,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005464481,0.032786885,0,0.010928962,0.016393443,0.005464481,0.207650273,3.25136612,0,0,0,0,0,0,0,0,0,71.1,181,8.5,23.00547945,31.88,4.61,36.5,8,4.16,119,7.19,11.16,
23216,5566,Jordan Devey,T,20130603,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035714286,0,0,0,0,0,0,0,0,0,0,0,0,78.63,317,,25.30410959,,5.25,24,21,4.77,98,7.91,,
23219,24764,Toby Wright,DB,19940049,6,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016949153,0.152542373,0,0,0,0,0,0,0,0,0,0,0,0.033898305,0,0,0.118644068,1.661016949,0,0,0,0,0,0,0,0,0,71,203,9.5,23.44383562,30.75,4.66,33.5,,4.07,116,,11.46,
23221,2754,Trenton Brown,OT,20150244,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.4,355,,22.06027397,,5.29,23.5,20,4.78,97,8.23,,
23222,6336,Jason Elam,K,19930070,17,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717,722,559,452,2,48,0,0,0,0,0,0,0,0,0,0.003597122,0.007194245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.579136691,2.597122302,2.010791367,1.625899281,0.007194245,0.172661871,0,71.1,192,8.5,23.14794521,28.63,,,,,,,,
23224,24374,George Wilson,SS,20040498,10,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,2,7,0,0,0,0,4.5,318,127,14,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008064516,0.048387097,0,0,0,0,0,0.016129032,0.056451613,0,0,0,0,0.036290323,2.564516129,1.024193548,0.112903226,1.120967742,0,0,0,0,0,0,0,0,0,72.1,213,,23.12876712,,4.6,35,,3.98,120,7.07,,
23228,7364,Gus Frerotte,QB,19940197,15,1733,3181,21666,8564.1,115,109,211,1374,200,330,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11.47682119,21.06622517,143.4834437,56.71589404,0.761589404,0.721854305,1.397350993,9.099337748,1.324503311,2.185430464,0.039735099,0,0,0,0,0,0,0,0,0,0,0,0.013245033,0,0,0,0,0,0,0,0,0,0,0,0,75,221,9.5,22.74794521,30.88,5.04,26,,4.79,102,,,
23231,18930,Courtney Roby,WR,20050068,10,0,0,0,0,0,0,0,0,3,19,0,55,26,343,1,135,3312,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030927835,0.195876289,0,0.567010309,0.268041237,3.536082474,0.010309278,1.391752577,34.1443299,0.010309278,0,0,0,0,0,0.020618557,0,0,0,0,0,0,0,0,0,0,0,72.13,189,,22.29863014,,4.41,36.5,,3.94,125,6.6,,
23232,20651,Jeff Smith,TE,19960241,1,0,0,0,0,0,0,0,0,0,0,0,0,6,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.6,331,9.5,22.92054795,31.25,5.62,25,,4.75,93,,,
23237,11522,Calvin Jones,DB,19940080,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260869565,2.065217391,0,0,0,0,0,0,0,0,0,71.1,212,10,23.42191781,32.75,4.58,30.5,,4.09,115,,11.28,
