,player_id,name,position,combine_player_ids,season_played,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_attempts,kick_return_yards,kick_return_touchdowns,punt_return_attempts,punt_return_yards,punt_return_touchdowns,defense_sacks,defense_tackles,defense_tackle_assists,defense_interceptions,defense_interception_yards,defense_interception_touchdowns,defense_safeties,point_after_attempts,point_after_makes,field_goal_attempts,field_goal_makes,punting_attempts,punting_yards,punting_blocked,passing_attempts_average,passing_completions_average,passing_yards_average,passing_rating_average,passing_touchdowns_average,passing_interceptions_average,passing_sacks_average,passing_sacks_yards_lost_average,rushing_attempts_average,rushing_yards_average,rushing_touchdowns_average,receiving targets_average,receiving_receptions_average,receiving_yards_average,receiving_touchdowns_average,kick_return_attempts_average,kick_return_yards_average,kick_return_touchdowns_average,punt_return_attempts_average,punt_return_yards_average,punt_return_touchdowns_average,defense_sacks_average,defense_tackles_average,defense_tackle_assists_average,defense_interceptions_average,defense_interception_yards_average,defense_interception_touchdowns_average,defense_safeties_average,point_after_attempts_average,point_after_makes_average,field_goal_attempts_average,field_goal_makes_average,punting_attempts_average,punting_yards_average,punting_blocked_average,heights,weights,hands,age,arm,40_dash,vertical,bench,shuttle,broad,3_cone,60_shuttle,wonderlic
0,1809,Robert Blackmon,DB,19900034,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,17,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078358209,0,0,0.126865672,1.955223881,0,0,0,0,0,0,0,0,0,71.3,198,9.38,22.96164384,29,4.59,33.5,12,4.27,119,,12.08,
1,23586,Dean Wells,LB,19930085,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019379845,0,0,0.023255814,0.310077519,0,0,0,0,0,0,0,0,0,74.4,238,9.88,22.78082192,32.38,4.61,39,20,4.01,126,,11.05,
5,4310,Jerome Collins,TE,20050144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.25,267,,22.69589041,,4.73,,21,,114,,,
6,2701,Preston Brown,ILB,20140073,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,253,200,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016949153,4.288135593,3.389830508,0.050847458,0.779661017,0,0,0,0,0,0,0,0,0,73.25,251,,21.54246575,,4.86,33,23,4.26,115,6.98,,
8,11755,LaMont Jordan,RB,20010049,9,0,2,0,39.6,0,1,0,0,936,3950,30,220,163,1334,3,38,730,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666667,0,0.33,0,0.008333333,0,0,7.8,32.91666667,0.25,1.833333333,1.358333333,11.11666667,0.025,0.316666667,6.083333333,0,0,0,0,0,0.008333333,0,0,0,0,0,0,0,0,0,0,0,0,70.3,234,,22.45753425,,4.57,37,24,,,,,
13,3966,Frank Clark,DE,20150063,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,54,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,1.2,0.733333333,0,0,0,0,0,0,0,0,0,0,0,74.7,271,,21.89041096,,4.79,38.5,19,4.05,118,7.08,,
14,9175,Jackie Harris,TE,19900102,12,0,0,0,0,0,0,0,0,1,1,0,581,408,4531,25,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005813953,0.005813953,0,3.377906977,2.372093023,26.34302326,0.145348837,0.005813953,0.01744186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,231,10,22.31232877,32.38,4.85,31.5,7,4.38,114,,12.06,
16,2657,Ken Brown,RB,19950124,6,0,0,0,0,0,0,0,0,350,1206,7,0,58,468,2,45,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.430379747,15.26582278,0.088607595,0,0.734177215,5.924050633,0.025316456,0.569620253,12.43037975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.5,235,9.88,23.98082192,34.13,,34.5,13,,115,,,
18,18011,MyCole Pruitt,TE,20150143,2,0,0,0,0,0,0,0,0,0,0,0,20,14,124,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952380952,0.666666667,5.904761905,0,0.047619048,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.2,251,,23.11506849,,4.58,38,17,4.37,118,7.25,,
30,12559,Scott Kowalkowski,LB,19910216,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006134969,0,0,0.006134969,0.17791411,0,0,0,0,0,0,0,0,0,72.1,227,9.13,22.6739726,33.5,4.91,28.5,,4.16,104,,11.52,
34,1477,Ricky Bell,RB,19960807,6,0,0,0,0,0,0,0,0,880,3264,18,0,99,854,3,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33333333,49.45454545,0.272727273,0,1.5,12.93939394,0.045454545,0.015151515,0.151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.8,186,9.25,21.56438356,31,,,16,,,,,
44,19783,Chris Scott,DE,20100151,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151515152,0,0,0,0,0,0,0,0,0,0,0,0,0,76.63,319,,22.73150685,,5.52,22.5,19,5.03,,8.24,,
48,1244,D'Wayne Bates,WR,19990071,5,0,0,0,0,0,0,0,0,1,-2,0,123,71,901,5,1,15,0,4,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,-0.055555556,0,3.416666667,1.972222222,25.02777778,0.138888889,0.027777778,0.416666667,0,0.111111111,2.583333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.6,215,,23.38356164,,4.59,37,,4.24,117,7.25,,
51,24188,Mike Williams,WR,20050010,7,0,0,0,0,0,0,0,0,1,0,0,267,136,1609,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017241379,0,0,4.603448276,2.344827586,27.74137931,0.137931034,0,0,0,0,0,0,0,0.068965517,0,0,0,0,0,0,0,0,0,0,0,0,76.63,229,,21.31506849,,4.57,36.5,,,,,,
53,17858,Bilal Powell,RB,20110126,7,1,1,30,118.7,0,0,0,0,635,2785,12,272,190,1445,4,3,54,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0.011904762,0.011904762,0.357142857,1.413095238,0,0,0,0,7.55952381,33.1547619,0.142857143,3.238095238,2.261904762,17.20238095,0.047619048,0.035714286,0.642857143,0,0,0,0,0,0.083333333,0.023809524,0,0,0,0,0,0,0,0,0,0,0,70.5,207,,22.51506849,,4.52,,18,,,,,
57,15176,Jack Mewhort,OT,20140059,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,78,309,,22.61917808,,5.37,26,28,4.64,100,7.79,,
62,18706,Victor Riley,T-G,19980027,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.6,333,10.75,23.46849315,36.13,5.55,23,23,5.02,91,8.77,,
66,1501,Jason Belser,DB,19920197,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,112,0,1,53,0,9.5,0,0,16,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033707865,0.629213483,0,0.005617978,0.297752809,0,0.053370787,0,0,0.08988764,2.280898876,0,0,0,0,0,0,0,0,0,68.6,182,8.5,21.92876712,30.63,4.74,37,9,4.41,119,,11.63,
70,201,Chas Alecxih,DT,20120597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.75,296,,23.22191781,,5.31,25.5,19,4.62,99,7.74,,
72,1887,Eric Blount,WR,19930812,2,0,0,0,0,0,0,0,0,6,27,1,10,8,54,0,19,414,0,22,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,2.7,0.1,1,0.8,5.4,0,1.9,41.4,0,2.2,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4,234,8.88,,32.13,4.83,31,19,,,,,
77,21480,Justin Strzelczyk,T-G,19900293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.1,282,9.25,21.69041096,32.5,5.04,29,12,4.49,108,,,
79,6257,Braylon Edwards,WR,20050003,8,0,1,0,39.6,0,0,0,0,4,11,0,770,374,5842,42,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008474576,0,0.33559322,0,0,0,0,0.033898305,0.093220339,0,6.525423729,3.169491525,49.50847458,0.355932203,0,0,0,0,0,0,0,0.118644068,0,0,0,0,0,0,0,0,0,0,0,0,74.88,211,,22.18356164,,4.45,,22,,,,,
83,5341,Brian Dawkins,DB,19960061,16,0,0,0,0,0,0,0,0,0,0,0,1,1,57,1,0,0,0,0,0,0,28,270,60,41,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004132231,0.004132231,0.23553719,0.004132231,0,0,0,0,0,0,0.115702479,1.115702479,0.247933884,0.169421488,2.429752066,0,0,0,0,0,0,0,0,0,71.4,189,9,22.53424658,31.38,4.63,35,19,4.39,120,,11.6,
90,17509,Bryce Petty,QB,20150103,1,75,133,809,354.8,3,7,13,79,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,22.16666667,134.8333333,59.13333333,0.5,1.166666667,2.166666667,13.16666667,0.833333333,3.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.7,230,,23.93150685,,4.87,34,,4.13,121,6.91,,
91,22024,Daniel Thomas,RB,20110062,4,0,0,0,0,0,0,0,0,409,1480,10,74,55,412,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.865384615,28.46153846,0.192307692,1.423076923,1.057692308,7.923076923,0.057692308,0,0,0,0,0,0,0,0.057692308,0.019230769,0,0,0,0,0,0,0,0,0,0,0,72.25,230,,23.51232877,,4.63,,21,,,,,
93,18238,Keiwan Ratliff,DB,20040049,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,650,0,0,35,12,5,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.179487179,8.333333333,0,0,0.448717949,0.153846154,0.064102564,1.141025641,0,0,0,0,0,0,0,0,0,70.1,194,,23.03013699,,4.58,,11,,,,,
99,22474,Steve Trapilo,G,19870096,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.5,284,10.25,22.61643836,32.5,5.22,23.5,26,4.91,97,,,
101,10604,Juaquin Iglesias,WR,20090099,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.88,210,,21.69041096,,4.44,34.5,,4.4,116,,,
108,14547,Todd McClure,C,19990237,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009661836,0,0,0,0,0,0,0,0,0,0,0,0,73.4,298,,22.17808219,,5.25,28,29,4.51,93,7.81,,
110,20742,Raonall Smith,LB,20020038,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.02,0.38,0,0,0,0,0,0,0,0,0,74.1,244,,23.50958904,,4.56,42,26,4.11,121,7.1,,
112,15679,Evan Moore,WR,20080637,4,0,0,0,0,0,0,0,0,0,0,0,103,63,810,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.145833333,1.3125,16.875,0.104166667,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,78,233,,23.3260274,,4.78,27,16,4.43,110,7.08,,
114,24171,Marcus Williams,CB,20010427,4,0,0,0,0,0,0,0,0,0,0,0,1,1,31,0,0,0,0,0,0,0,2.5,86,17,10,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022222222,0.022222222,0.688888889,0,0,0,0,0,0,0,0.055555556,1.911111111,0.377777778,0.222222222,1.377777778,0,0,0,0,0,0,0,0,0,77,230,,23.37260274,,4.56,41,,4.2,130,7.37,,
132,20689,L.J. Smith,TE,20030061,7,0,0,0,0,0,0,0,0,0,0,0,423,251,2747,19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.880733945,2.302752294,25.20183486,0.174311927,0,0,0,0,0,0,0,0.018348624,0,0,0,0,0,0,0,0,0,0,0,0,75.3,258,,22.96712329,,4.69,37,26,4.18,122,6.74,,
144,16948,John Owens,TE,20020138,8,0,0,0,0,0,0,0,0,0,0,0,42,23,199,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538461538,0.294871795,2.551282051,0.012820513,0,0,0,0,0,0,0,0.012820513,0.012820513,0,0,0,0,0,0,0,0,0,0,0,75,265,,22.29041096,,4.77,38.5,21,,115,,,
146,14520,Rolando McClain,LB,20100008,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,292,120,4,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141791045,4.358208955,1.791044776,0.059701493,0.328358209,0,0.014925373,0,0,0,0,0,0,0,76,249,,20.78630137,,4.68,,24,,,,,
149,398,Jason Andersen,G,19980211,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.6,314,10.25,22.63835616,33.5,5.35,29.5,21,4.5,102,8.42,,
152,11364,Melvin Johnson,DB,19950043,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0.076923077,0.826923077,0,0,0,0,0,0,0,0,0,71.9,195,8.88,23.03287671,33.5,4.71,34.5,13,4.17,127,,11.4,
153,21007,C.J. Spillman,DB,20090606,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.177083333,0,0,0,0,0,0,0,0,0,0,0,72,197,,22.98630137,,4.45,41.5,,4.33,122,7.05,,
155,6093,Damon Dunn,WR,19980414,2,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,2,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0.090909091,0.545454545,0,0.181818182,3.181818182,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.9,183,9.25,22.10684932,30.75,4.48,31.5,,4,114,7.46,10.92,
164,5647,Trent Dilfer,QB,19940006,14,1818,3307,21489,9462.4,117,133,276,1845,263,860,5,2,2,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.36764706,24.31617647,158.0073529,69.57647059,0.860294118,0.977941176,2.029411765,13.56617647,1.933823529,6.323529412,0.036764706,0.014705882,0.014705882,-0.044117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.3,228,9.63,22.12876712,32.25,,,,,,,,
166,24084,Grant Williams,T,19960413,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.8,322,9.5,21.96164384,34.63,5.6,23.5,,4.79,90,,,
167,18780,Alfredo Roberts,TE-WR,19880197,5,0,0,0,0,0,0,0,0,0,0,0,7,50,476,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084337349,0.602409639,5.734939759,0.024096386,0.012048193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.8,247,8.75,23.16438356,,4.95,29.5,,4.46,,,11.91,
169,13239,Chad Levitt,RB,19970123,1,0,0,0,0,0,0,0,0,2,3,0,9,2,24,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0,0.9,0.2,2.4,0,0.1,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.1,233,9.13,21.42465753,31.5,4.61,34.5,19,4.19,122,7.41,11.46,
172,1091,Derrick Barnes,LB,19970805,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.9,261,9.25,22.61917808,33.63,4.92,33,15,4.42,109,7.88,12.25,
174,11632,Josh Jones,S,20170061,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,3.909090909,0.545454545,0,0,0,0,0,0,0,0,0,0,0,73.25,220,,22.61917808,,4.41,37.5,20,4.27,132,,,17
175,23947,Muhammad Wilkerson,DT,20110030,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,239,155,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417475728,2.32038835,1.504854369,0.019417476,0.087378641,0,0.009708738,0,0,0,0,0,0,0,76.13,315,,21.52876712,,4.96,26,27,4.59,106,7.31,,
177,3542,Leonardo Carson,DT,20000113,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046875,0.578125,0,0,0,0,0.1328125,0,0,0,0,0,0,0,0,0,0,0,0,0,73.5,283,,23.1890411,,5.06,28,22,4.75,106,7.82,,
183,16020,Keith Mumphery,WR,20150175,2,0,0,0,0,0,0,0,0,0,0,0,48,25,205,0,14,338,0,36,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0.833333333,6.833333333,0,0.466666667,11.26666667,0,1.2,9.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.5,215,,22.91506849,,4.54,32.5,,4.25,121,7.07,,
192,13284,Jeff Lewis,QB,19960100,5,28,54,210,445.2,0,2,8,71,21,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.333333333,4.5,17.5,37.1,0,0.166666667,0.666666667,5.916666667,1.75,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.8,215,9.25,23.02465753,31,,,,,,,,
196,10371,Doug Hudson,QB,19870186,1,0,1,0,39.6,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39.6,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.8,197,7.25,22.64109589,29,4.86,25,,4.52,105,,,
207,10263,Justin Houston,LB,20110070,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5,289,54,3,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.772222222,3.211111111,0.6,0.033333333,0.533333333,0,0.011111111,0,0,0,0,0,0,0,74.88,270,,22.30410959,,4.62,36.5,30,4.37,125,6.95,,
210,23830,Jermaine Whitehead,DB,20150453,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.142857143,0,0,0,0,0,0,0,0,0,0,0,71,197,,22.14794521,,4.59,37,15,4.11,128,6.95,,
212,24207,Quintin Williams,DB,20040618,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.5,207,,21.59726027,,4.61,37,21,4.09,122,7.28,,
214,3545,Dwayne Carswell,TE,19940431,12,0,0,0,0,0,0,0,0,0,0,0,319,202,1797,15,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.833333333,1.16091954,10.32758621,0.086206897,0.028735632,0.08045977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.9,264,9.38,22.27945205,33,5.16,26.5,17,4.5,102,,12.78,
226,23515,Larry Webster,DT-DE,19920070,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033783784,0,0,0,0,0,0,0,0,0,0,0,0,0,77,285,9.63,23.28493151,32.63,5.18,31.5,23,4.75,109,,,
227,10595,Henry Hynoski,FB,20110680,4,0,0,0,0,0,0,0,0,12,33,0,38,29,177,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.66,0,0.76,0.58,3.54,0.02,0.02,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,257,,22.33972603,,5.06,30.5,24,,111,,,
232,23110,Kenny Walker,DE,19910200,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136363636,0,0,0,0,0,0,0,0,0,0,0,0,0,74.9,246,10,24.05753425,32.5,4.89,31.5,18,4.29,115,,,
233,22943,Danny Villa,T-C-G,19870113,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,309,9,22.61369863,33,5.5,22.5,21,4.78,92,,,
234,8344,Barrett Green,LB,20000050,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,73,233,,22.47671233,,4.56,36,22,,120,,,
239,24401,Martez Wilson,OLB,20110072,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1625,0.45,0.2,0,0,0,0,0,0,0,0,0,0,0,76,250,,22.61369863,,4.42,36,23,4.28,124,7.04,,
243,24297,Avery Williamson,ILB,20140151,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,219,128,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163793103,3.775862069,2.206896552,0.034482759,0,0,0,0,0,0,0,0,0,0,73,246,,22.17808219,,4.66,30.5,25,4.07,120,7.11,,
244,2936,Bryan Bulaga,T,20100023,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020618557,0,0,0,0,0,0,0,0,0,0,0,0,77.38,314,,21.10136986,,5.2,27.5,26,4.75,98,7.7,,
