,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0_x,Unnamed: 0.1.1.1.1.1.1,player_id,name,position,college,combine_player_ids,season_played,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_attempts,kick_return_yards,kick_return_touchdowns,punt_return_attempts,punt_return_yards,punt_return_touchdowns,defense_sacks,defense_tackles,defense_tackle_assists,defense_interceptions,defense_interception_yards,defense_interception_touchdowns,defense_safeties,point_after_attempts,point_after_makes,field_goal_attempts,field_goal_makes,punting_attempts,punting_yards,punting_blocked,passing_attempts_average,passing_completions_average,passing_yards_average,passing_rating_average,passing_touchdowns_average,passing_interceptions_average,passing_sacks_average,passing_sacks_yards_lost_average,rushing_attempts_average,rushing_yards_average,rushing_touchdowns_average,receiving targets_average,receiving_receptions_average,receiving_yards_average,receiving_touchdowns_average,kick_return_attempts_average,kick_return_yards_average,kick_return_touchdowns_average,punt_return_attempts_average,punt_return_yards_average,punt_return_touchdowns_average,defense_sacks_average,defense_tackles_average,defense_tackle_assists_average,defense_interceptions_average,defense_interception_yards_average,defense_interception_touchdowns_average,defense_safeties_average,point_after_attempts_average,point_after_makes_average,field_goal_attempts_average,field_goal_makes_average,punting_attempts_average,punting_yards_average,punting_blocked_average,heights,weights,hands,age,arm,40_dash,vertical,bench,shuttle,broad,3_cone,60_shuttle,wonderlic,Unnamed: 0_y,Player,Pos,To,CarAV,DrAV,Age,Tm,Rnd,Pick,Year,College/Univ,Missing
14,14,14,14,14,14,RB,RB,RB,RB,RB,RB,Louisville,20110126,7,1,1,30,118.7,0,0,0,0,635,2785,12,272,190,1445,4,3,54,0,0,0,0,0.0,7,2,0,0,0,0,0,0,0,0,0,0,0,0.011904762,0.011904762,0.35714285700000004,1.4130952380000001,0.0,0.0,0.0,0.0,7.55952381,33.154761900000004,0.14285714300000002,3.238095238,2.261904762,17.20238095,0.047619048,0.035714286,0.642857143,0.0,0.0,0.0,0.0,0.0,0.083333333,0.023809524,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.5,207,9.359638554,22.51506849,31.239911499999998,4.52,33.83308271,18.0,4.267629108,116.376673,7.1466171,11.64856287,,16970.0,Bilal Powell,RB,2019.0,26.0,26.0,22.0,NYJ,4.0,126.0,2011.0,Louisville,False
15,15,15,15,15,15,T,T,T,T,T,T,Ohio St.,20140059,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666667000000004,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,309,9.9425,22.61917808,33.89451923,5.37,26.0,28.0,4.64,100.0,7.79,11.597999999999999,,,,,,,,,,,,,,True
16,16,16,16,16,16,T,T,T,T,T,T,Auburn,19980027,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.6,333,10.75,23.46849315,36.13,5.55,23.0,23.0,5.02,91.0,8.77,11.597999999999999,,,,,,,,,,,,,,True
17,17,17,17,17,17,DB,DB,DB,DB,DB,DB,Oklahoma,19920197,11,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,112,0,1,53,0,9.5,0,0,16,406,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033707865,0.629213483,0.0,0.005617978,0.297752809,0.0,0.053370787,0.0,0.0,0.08988764,2.2808988759999997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.6,182,8.5,21.92876712,30.63,4.74,37.0,9.0,4.41,119.0,7.042195122000001,11.63,,12100.0,Jason Belser,DB,2002.0,47.0,44.0,22.0,IND,8.0,197.0,1992.0,Oklahoma,False
18,18,18,18,18,18,DE,DE,DE,DE,DE,DE,Pittsburgh,20120597,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.75,296,9.78304,23.22191781,33.42385246,5.31,25.5,19.0,4.62,99.0,7.74,11.87125,,,,,,,,,,,,,,True
19,19,19,19,19,19,WR,WR,WR,WR,WR,WR,North Carolina,19930812,2,0,0,0,0.0,0,0,0,0,6,27,1,10,8,54,0,19,414,0,22,191,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.7,0.1,1.0,0.8,5.4,0.0,1.9,41.4,0.0,2.2,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4,234,8.88,22.61361994,32.13,4.83,31.0,19.0,4.2160810810000005,118.94144140000002,6.993472585,11.49209302,,12105.0,Eric Blount,WR,1993.0,1.0,1.0,21.0,PHO,8.0,202.0,1992.0,North Carolina,False
20,20,20,20,20,20,T,T,T,T,T,T,Maine,19900293,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.1,282,9.25,21.69041096,32.5,5.04,29.0,12.0,4.49,108.0,7.870920245,11.597999999999999,,,,,,,,,,,,,,True
21,21,21,21,21,21,WR,WR,WR,WR,WR,WR,Michigan,20050003,8,0,1,0,39.6,0,0,0,0,4,11,0,770,374,5842,42,0,0,0,0,0,0,0.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.008474576,0.0,0.33559322,0.0,0.0,0.0,0.0,0.033898305,0.093220339,0.0,6.525423729,3.169491525,49.50847458,0.35593220299999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118644068,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.88,211,9.290307692,22.18356164,31.66167364,4.45,34.74818049,22.0,4.2160810810000005,118.94144140000002,6.993472585,11.49209302,,15280.0,Braylon Edwards,WR,2012.0,41.0,27.0,22.0,CLE,1.0,3.0,2005.0,Michigan,False
22,22,22,22,22,22,DB,DB,DB,DB,DB,DB,Clemson,19960061,16,0,0,0,0.0,0,0,0,0,0,0,0,1,1,57,1,0,0,0,0,0,0,28.0,270,60,41,588,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004132231,0.004132231,0.23553719,0.004132231,0.0,0.0,0.0,0.0,0.0,0.0,0.115702479,1.115702479,0.247933884,0.169421488,2.429752066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4,189,9.0,22.53424658,31.38,4.63,35.0,19.0,4.39,120.0,7.042195122000001,11.6,,,,,,,,,,,,,,True
23,23,23,23,23,23,QB,QB,QB,QB,QB,QB,Baylor,20150103,1,75,133,809,354.8,3,7,13,79,5,19,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,22.16666667,134.83333330000002,59.13333333,0.5,1.166666667,2.166666667,13.16666667,0.833333333,3.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.7,230,9.481704545,23.93150685,31.77426829,4.87,34.0,14.05263158,4.13,121.0,6.91,12.07,,17988.0,Bryce Petty,QB,2017.0,4.0,4.0,24.0,NYJ,4.0,103.0,2015.0,Baylor,False
24,24,24,24,24,24,RB,RB,RB,RB,RB,RB,Kansas St.,20110062,4,0,0,0,0.0,0,0,0,0,409,1480,10,74,55,412,3,0,0,0,0,0,0,0.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.865384615,28.46153846,0.192307692,1.4230769230000002,1.057692308,7.923076922999999,0.057692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057692308,0.019230768999999998,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.25,230,9.359638554,23.51232877,31.239911499999998,4.63,33.83308271,21.0,4.267629108,116.376673,7.1466171,11.64856287,,16904.0,Daniel Thomas,RB,2014.0,11.0,11.0,23.0,MIA,2.0,62.0,2011.0,Kansas St.,False
25,25,25,25,25,25,DB,DB,DB,DB,DB,DB,Florida,20040049,7,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,650,0,0.0,35,12,5,89,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.179487179,8.333333332999999,0.0,0.0,0.448717949,0.153846154,0.064102564,1.141025641,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.1,194,9.180858586,23.03013699,31.42202778,4.58,35.15636822,11.0,4.190455213,118.9731801,7.042195122000001,11.497068400000002,,15066.0,Keiwan Ratliff,DB,2010.0,9.0,5.0,23.0,CIN,2.0,49.0,2004.0,Florida,False
26,26,26,26,26,26,G,G,G,G,G,G,Boston Col.,19870096,6,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.5,284,10.25,22.61643836,32.5,5.22,23.5,26.0,4.91,97.0,7.880350877000001,11.45,,10272.0,Steve Trapilo,G,1992.0,27.0,27.0,22.0,NOR,4.0,96.0,1987.0,Boston Col.,False
27,27,27,27,27,27,WR,WR,WR,WR,WR,WR,Oklahoma,20090099,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.88,210,9.290307692,21.69041096,31.66167364,4.44,34.5,14.91558442,4.4,116.0,6.993472585,11.49209302,,16419.0,Juaquin Iglesias,WR,2009.0,0.0,0.0,22.0,CHI,3.0,99.0,2009.0,Oklahoma,False
28,28,28,28,28,28,C,C,C,C,C,C,Louisiana State,19990237,13,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009661836,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.4,298,9.818837209,22.17808219,32.21309524,5.25,28.0,29.0,4.51,93.0,7.81,11.62,,,,,,,,,,,,,,True
29,29,29,29,29,29,LB,LB,LB,LB,LB,LB,Washington St.,20020038,5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,1,19,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.1,244,9.575971731000001,23.50958904,32.34203774,4.56,42.0,26.0,4.11,121.0,7.1,11.87096618,,14520.0,Raonall Smith,LB,2007.0,6.0,5.0,23.0,MIN,2.0,38.0,2002.0,Washington St.,False
30,30,30,30,30,30,WR,WR,WR,WR,WR,WR,Stanford,20080637,4,0,0,0,0.0,0,0,0,0,0,0,0,103,63,810,5,0,0,0,0,0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.145833333,1.3125,16.875,0.10416666699999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,233,9.290307692,23.326027399999997,31.66167364,4.78,27.0,16.0,4.43,110.0,7.08,11.49209302,,,,,,,,,,,,,,True
31,31,31,31,31,31,DB,DB,DB,DB,DB,DB,North Dakota St.,20010427,4,0,0,0,0.0,0,0,0,0,0,0,0,1,1,31,0,0,0,0,0,0,0,2.5,86,17,10,62,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222000000003,0.022222222000000003,0.688888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055555556,1.9111111109999999,0.37777777799999995,0.222222222,1.377777778,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,230,9.180858586,23.37260274,31.42202778,4.56,41.0,14.64411367,4.2,130.0,7.37,11.497068400000002,,,,,,,,,,,,,,True
32,32,32,32,32,32,T,T,T,T,T,T,Rutgers,20030061,7,0,0,0,0.0,0,0,0,0,0,0,0,423,251,2747,19,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.880733945,2.3027522940000003,25.20183486,0.174311927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018348623999999997,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.3,258,9.9425,22.96712329,33.89451923,4.69,37.0,26.0,4.18,122.0,6.74,11.597999999999999,,14810.0,L.J. Smith,TE,2009.0,21.0,21.0,23.0,PHI,2.0,61.0,2003.0,Rutgers,False
