,Unnamed: 0,player_id,name,position,college,combine_player_ids,season_played,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_attempts,kick_return_yards,kick_return_touchdowns,punt_return_attempts,punt_return_yards,punt_return_touchdowns,defense_sacks,defense_tackles,defense_tackle_assists,defense_interceptions,defense_interception_yards,defense_interception_touchdowns,defense_safeties,point_after_attempts,point_after_makes,field_goal_attempts,field_goal_makes,punting_attempts,punting_yards,punting_blocked,passing_attempts_average,passing_completions_average,passing_yards_average,passing_rating_average,passing_touchdowns_average,passing_interceptions_average,passing_sacks_average,passing_sacks_yards_lost_average,rushing_attempts_average,rushing_yards_average,rushing_touchdowns_average,receiving targets_average,receiving_receptions_average,receiving_yards_average,receiving_touchdowns_average,kick_return_attempts_average,kick_return_yards_average,kick_return_touchdowns_average,punt_return_attempts_average,punt_return_yards_average,punt_return_touchdowns_average,defense_sacks_average,defense_tackles_average,defense_tackle_assists_average,defense_interceptions_average,defense_interception_yards_average,defense_interception_touchdowns_average,defense_safeties_average,point_after_attempts_average,point_after_makes_average,field_goal_attempts_average,field_goal_makes_average,punting_attempts_average,punting_yards_average,punting_blocked_average,heights,weights,hands,age,arm,40_dash,vertical,bench,shuttle,broad,3_cone,60_shuttle,wonderlic
0,0,1809,Robert Blackmon,DB,Baylor,19900034,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,17,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078358209,0,0,0.126865672,1.955223881,0,0,0,0,0,0,0,0,0,71.3,198,9.38,22.96164384,29,4.59,33.5,12,4.27,119,7.042195122,12.08,
1,1,23586,Dean Wells,LB,Kentucky,19930085,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019379845,0,0,0.023255814,0.310077519,0,0,0,0,0,0,0,0,0,74.4,238,9.88,22.78082192,32.38,4.61,39,20,4.01,126,7.245243902,11.05,
2,5,4310,Jerome Collins,TE,Notre Dame,20050144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.25,267,9.9425,22.69589041,33.89451923,4.73,28.01383399,21,4.716348548,114,7.870920245,11.598,
3,6,2701,Preston Brown,ILB,Louisville,20140073,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,253,200,3,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016949153,4.288135593,3.389830508,0.050847458,0.779661017,0,0,0,0,0,0,0,0,0,73.25,251,9.575971731,21.54246575,32.34203774,4.86,33,23,4.26,115,6.98,11.87096618,
4,8,11755,LaMont Jordan,RB,Maryland,20010049,9,0,2,0,39.6,0,1,0,0,936,3950,30,220,163,1334,3,38,730,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666667,0,0.33,0,0.008333333,0,0,7.8,32.91666667,0.25,1.833333333,1.358333333,11.11666667,0.025,0.316666667,6.083333333,0,0,0,0,0,0.008333333,0,0,0,0,0,0,0,0,0,0,0,0,70.3,234,9.359638554,22.45753425,31.2399115,4.57,37,24,4.267629108,116.376673,7.1466171,11.64856287,
5,13,3966,Frank Clark,DE,Michigan,20150063,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,54,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,1.2,0.733333333,0,0,0,0,0,0,0,0,0,0,0,74.7,271,9.78304,21.89041096,33.42385246,4.79,38.5,19,4.05,118,7.08,11.87125,
6,14,9175,Jackie Harris,TE,Louisiana-Monroe,19900102,12,0,0,0,0,0,0,0,0,1,1,0,581,408,4531,25,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005813953,0.005813953,0,3.377906977,2.372093023,26.34302326,0.145348837,0.005813953,0.01744186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,231,10,22.31232877,32.38,4.85,31.5,7,4.38,114,7.870920245,12.06,
7,16,2657,Ken Brown,RB,,19950124,6,0,0,0,0,0,0,0,0,350,1206,7,0,58,468,2,45,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.430379747,15.26582278,0.088607595,0,0.734177215,5.924050633,0.025316456,0.569620253,12.43037975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.5,235,9.88,23.98082192,34.13,4.605443038,34.5,13,4.267629108,115,7.1466171,11.64856287,
8,18,18011,MyCole Pruitt,TE,Southern Illinois,20150143,2,0,0,0,0,0,0,0,0,0,0,0,20,14,124,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952380952,0.666666667,5.904761905,0,0.047619048,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.2,251,9.9425,23.11506849,33.89451923,4.58,38,17,4.37,118,7.25,11.598,
9,30,12559,Scott Kowalkowski,LB,Notre Dame,19910216,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006134969,0,0,0.006134969,0.17791411,0,0,0,0,0,0,0,0,0,72.1,227,9.13,22.6739726,33.5,4.91,28.5,21.21631206,4.16,104,7.245243902,11.52,
