,player_id,name,position,combine_player_ids,season_played,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_attempts,kick_return_yards,kick_return_touchdowns,punt_return_attempts,punt_return_yards,punt_return_touchdowns,defense_sacks,defense_tackles,defense_tackle_assists,defense_interceptions,defense_interception_yards,defense_interception_touchdowns,defense_safeties,point_after_attempts,point_after_makes,field_goal_attempts,field_goal_makes,punting_attempts,punting_yards,punting_blocked,passing_attempts_average,passing_completions_average,passing_yards_average,passing_rating_average,passing_touchdowns_average,passing_interceptions_average,passing_sacks_average,passing_sacks_yards_lost_average,rushing_attempts_average,rushing_yards_average,rushing_touchdowns_average,receiving targets_average,receiving_receptions_average,receiving_yards_average,receiving_touchdowns_average,kick_return_attempts_average,kick_return_yards_average,kick_return_touchdowns_average,punt_return_attempts_average,punt_return_yards_average,punt_return_touchdowns_average,defense_sacks_average,defense_tackles_average,defense_tackle_assists_average,defense_interceptions_average,defense_interception_yards_average,defense_interception_touchdowns_average,defense_safeties_average,point_after_attempts_average,point_after_makes_average,field_goal_attempts_average,field_goal_makes_average,punting_attempts_average,punting_yards_average,punting_blocked_average,heights,weights,hands,age,arm,40_dash,vertical,bench,shuttle,broad,3_cone,60_shuttle,wonderlic,draft_year
34,1477,Ricky Bell,RB,19960807,6,0,0,0,0.0,0,0,0,0,880,3264,18,0,99,854,3,1,10,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.333333333333334,49.45454545454545,0.2727272727272727,0.0,1.5,12.93939393939394,0.045454545454545456,0.015151515151515152,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.8,186,9.25,21.56438356,31.0,4.604981884057968,33.835593220338986,16.0,4.267629107981221,116.37547892720306,7.146617100371751,11.648562874251494,,1996
44,19783,Chris Scott,DE,20100151,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.63,319,9.783040000000007,22.73150685,33.42385245901642,5.52,22.5,19.0,5.03,113.65745856353591,8.24,11.871250000000002,,2010
48,1244,D'Wayne Bates,WR,19990071,5,0,0,0,0.0,0,0,0,0,1,-2,0,123,71,901,5,1,15,0,4,93,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,-0.05555555555555555,0.0,3.4166666666666665,1.9722222222222223,25.02777777777778,0.1388888888888889,0.027777777777777776,0.4166666666666667,0.0,0.1111111111111111,2.5833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.6,215,9.290307692307714,23.38356164,31.661673640167393,4.59,37.0,14.915584415584416,4.24,117.0,7.25,11.492093023255807,,1999
51,24188,Mike Williams,WR,20050010,7,0,0,0,0.0,0,0,0,0,1,0,0,267,136,1609,8,0,0,0,0,0,0,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,4.603448275862069,2.3448275862068964,27.74137931034483,0.13793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.63,229,9.290307692307714,21.31506849,31.661673640167393,4.57,36.5,14.915584415584416,4.216081081081083,118.94144144144144,6.993472584856398,11.492093023255807,,2005
53,17858,Bilal Powell,RB,20110126,7,1,1,30,118.7,0,0,0,0,635,2785,12,272,190,1445,4,3,54,0,0,0,0,0.0,7,2,0,0,0,0,0,0,0,0,0,0,0,0.011904761904761904,0.011904761904761904,0.35714285714285715,1.4130952380952382,0.0,0.0,0.0,0.0,7.559523809523809,33.154761904761905,0.14285714285714285,3.238095238095238,2.261904761904762,17.202380952380953,0.047619047619047616,0.03571428571428571,0.6428571428571429,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.5,207,9.36008064516131,22.51506849,31.239866666666696,4.52,33.835593220338986,18.0,4.267629107981221,116.37547892720306,7.146617100371751,11.648562874251494,,2011
57,15176,Jack Mewhort,OT,20140059,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,309,9.942499999999999,22.61917808,33.89451923076926,5.37,26.0,28.0,4.64,100.0,7.79,11.598,,2014
62,18706,Victor Riley,T-G,19980027,8,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.6,333,10.75,23.46849315,36.13,5.55,23.0,23.0,5.02,91.0,8.77,11.598,,1998
66,1501,Jason Belser,DB,19920197,11,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,112,0,1,53,0,9.5,0,0,16,406,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033707865168539325,0.6292134831460674,0.0,0.0056179775280898875,0.29775280898876405,0.0,0.05337078651685393,0.0,0.0,0.0898876404494382,2.2808988764044944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.6,182,8.5,21.92876712,30.63,4.74,37.0,9.0,4.41,119.0,7.042195121951221,11.63,,1992
70,201,Chas Alecxih,DT,20120597,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.75,296,9.783040000000007,23.22191781,33.42385245901642,5.31,25.5,19.0,4.62,99.0,7.74,11.871250000000002,,2012
72,1887,Eric Blount,WR,19930812,2,0,0,0,0.0,0,0,0,0,6,27,1,10,8,54,0,19,414,0,22,191,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.7,0.1,1.0,0.8,5.4,0.0,1.9,41.4,0.0,2.2,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4,234,8.88,22.61361994345952,32.13,4.83,31.0,19.0,4.216081081081083,118.94144144144144,6.993472584856398,11.492093023255807,,1993
77,21480,Justin Strzelczyk,T-G,19900293,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.1,282,9.25,21.69041096,32.5,5.04,29.0,12.0,4.49,108.0,7.870920245398778,11.598,,1990
79,6257,Braylon Edwards,WR,20050003,8,0,1,0,39.6,0,0,0,0,4,11,0,770,374,5842,42,0,0,0,0,0,0,0.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.00847457627118644,0.0,0.3355932203389831,0.0,0.0,0.0,0.0,0.03389830508474576,0.09322033898305085,0.0,6.52542372881356,3.169491525423729,49.50847457627118,0.3559322033898305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11864406779661017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.88,211,9.290307692307714,22.18356164,31.661673640167393,4.45,34.748180494905384,22.0,4.216081081081083,118.94144144144144,6.993472584856398,11.492093023255807,,2005
83,5341,Brian Dawkins,DB,19960061,16,0,0,0,0.0,0,0,0,0,0,0,0,1,1,57,1,0,0,0,0,0,0,28.0,270,60,41,588,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004132231404958678,0.004132231404958678,0.23553719008264462,0.004132231404958678,0.0,0.0,0.0,0.0,0.0,0.0,0.11570247933884298,1.115702479338843,0.24793388429752067,0.16942148760330578,2.4297520661157024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4,189,9.0,22.53424658,31.38,4.63,35.0,19.0,4.39,120.0,7.042195121951221,11.6,,1996
90,17509,Bryce Petty,QB,20150103,1,75,133,809,354.8,3,7,13,79,5,19,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,22.166666666666668,134.83333333333334,59.13333333333333,0.5,1.1666666666666667,2.1666666666666665,13.166666666666666,0.8333333333333334,3.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.7,230,9.481704545454544,23.93150685,31.774268292682947,4.87,34.0,14.052631578947368,4.13,121.0,6.91,12.07,,2015
91,22024,Daniel Thomas,RB,20110062,4,0,0,0,0.0,0,0,0,0,409,1480,10,74,55,412,3,0,0,0,0,0,0,0.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.865384615384615,28.46153846153846,0.19230769230769232,1.4230769230769231,1.0576923076923077,7.923076923076923,0.057692307692307696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057692307692307696,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.25,230,9.36008064516131,23.51232877,31.239866666666696,4.63,33.835593220338986,21.0,4.267629107981221,116.37547892720306,7.146617100371751,11.648562874251494,,2011
93,18238,Keiwan Ratliff,DB,20040049,7,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,650,0,0.0,35,12,5,89,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1794871794871795,8.333333333333334,0.0,0.0,0.44871794871794873,0.15384615384615385,0.0641025641025641,1.141025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.1,194,9.183984771573627,23.03013699,31.425782122904966,4.58,35.154235145385584,11.0,4.190721649484534,118.9628681177977,7.042195121951221,11.498524590163933,,2004
