,Unnamed: 0,player_id,name,position,combine_player_ids,season_played,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_attempts,kick_return_yards,kick_return_touchdowns,punt_return_attempts,punt_return_yards,punt_return_touchdowns,defense_sacks,defense_tackles,defense_tackle_assists,defense_interceptions,defense_interception_yards,defense_interception_touchdowns,defense_safeties,point_after_attempts,point_after_makes,field_goal_attempts,field_goal_makes,punting_attempts,punting_yards,punting_blocked,passing_attempts_average,passing_completions_average,passing_yards_average,passing_rating_average,passing_touchdowns_average,passing_interceptions_average,passing_sacks_average,passing_sacks_yards_lost_average,rushing_attempts_average,rushing_yards_average,rushing_touchdowns_average,receiving targets_average,receiving_receptions_average,receiving_yards_average,receiving_touchdowns_average,kick_return_attempts_average,kick_return_yards_average,kick_return_touchdowns_average,punt_return_attempts_average,punt_return_yards_average,punt_return_touchdowns_average,defense_sacks_average,defense_tackles_average,defense_tackle_assists_average,defense_interceptions_average,defense_interception_yards_average,defense_interception_touchdowns_average,defense_safeties_average,point_after_attempts_average,point_after_makes_average,field_goal_attempts_average,field_goal_makes_average,punting_attempts_average,punting_yards_average,punting_blocked_average,heights,weights,hands,age,arm,40_dash,vertical,bench,shuttle,broad,3_cone,60_shuttle,wonderlic,draft_year
4138,16420,10907,Jeno James,G,20000182,7,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.1,320,9.864050632911392,23.27123288,32.8560810810811,5.66,25.5,24.0,5.22,94.0,8.51,11.45,,2000
4139,16423,15666,Darryl Moore,G,19920224,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,289,9.88,23.26027397,32.88,5.39,24.5,17.0,4.64,99.0,7.880350877192982,11.45,,1992
4140,16426,22371,Levine Toilolo,T,20130133,5,0,0,0,0.0,0,0,0,0,0,0,0,117,74,722,7,1,0,0,0,0,0,0.0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.9487179487179488,9.256410256410255,0.0897435897435897,0.0128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0384615384615384,0.0128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,260,9.9425,21.75342466,33.89451923076926,4.86,31.0,17.0,4.57,113.0,7.09,11.598,,2013
4141,16430,8667,Matt Gutierrez,QB,20070633,3,2,2,18,197.9,0,0,0,0,5,-13,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,3.0,32.983333333333334,0.0,0.0,0.0,0.0,0.8333333333333334,-2.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.25,232,9.481704545454544,22.89863014,31.774268292682947,5.04,29.5,14.052631578947368,4.28,108.0,6.99,12.07,28.0,2007
4142,16432,18929,Bradley Roby,DB,20140031,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,165,17,7,123,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0317460317460317,2.619047619047619,0.2698412698412698,0.1111111111111111,1.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.25,194,9.183984771573629,22.03287671,31.42578212290497,4.39,38.5,17.0,4.04,123.0,7.042195121951221,11.498524590163932,,2014
4143,16434,13241,Chuck Levy,RB,19940038,5,0,0,0,0.0,0,0,0,0,54,216,1,38,27,231,0,89,1844,1,8,111,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3170731707317074,5.2682926829268295,0.024390243902439,0.926829268292683,0.6585365853658537,5.634146341463414,0.0,2.1707317073170733,44.97560975609756,0.024390243902439,0.1951219512195122,2.707317073170732,0.024390243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.8,197,9.0,22.30958904,31.75,4.52,34.5,18.69061876247505,4.41,114.0,7.146617100371751,11.56,,1994
4144,16437,3061,Plaxico Burress,WR,20000008,13,0,0,0,0.0,0,0,0,0,1,-7,0,1191,599,9187,70,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,-0.04375,0.0,7.44375,3.74375,57.41875,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.4,231,9.290307692307714,22.69041096,31.661673640167397,4.59,33.0,14.915584415584416,4.216081081081083,115.0,6.993472584856398,11.492093023255809,,2000
4145,16439,22026,David Thomas,T,20060086,7,0,0,0,0.0,0,0,0,0,1,0,0,166,110,1017,8,0,0,0,0,0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114942528735632,0.0,0.0,1.908045977011494,1.264367816091954,11.689655172413794,0.0919540229885057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.13,252,9.9425,22.83287671,33.89451923076926,4.72,37.5,19.0,4.34,113.0,7.05,11.598,,2006
4146,16442,9240,Victor Harris,DB,20090157,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,20,409,0,0,0,0,0.0,36,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0526315789473684,21.526315789473685,0.0,0.0,0.0,0.0,0.0,1.894736842105263,0.1578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.25,198,9.183984771573629,23.20273973,31.42578212290497,4.68,33.5,14.659430122116689,3.98,118.0,6.68,11.498524590163932,,2009
4147,16443,14277,Rashean Mathis,DB,20030039,13,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,6,23,0,1.0,284,32,34,617,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055865921787709,0.0391061452513966,0.0,0.0335195530726257,0.1284916201117318,0.0,0.0055865921787709,1.5865921787709498,0.1787709497206704,0.1899441340782122,3.446927374301676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.8,202,9.183984771573629,22.67671233,31.42578212290497,4.47,38.5,22.0,4.15,123.0,7.08,11.498524590163932,,2003
4148,16444,276,Brian Allen,DB,20170173,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.88,215,9.183984771573629,23.53424658,31.42578212290497,4.48,34.5,15.0,4.34,117.0,6.64,11.498524590163932,,2017
4149,16446,108,Joseph Addai,RB,20060030,6,1,1,22,158.3,1,0,0,0,1253,5074,43,302,237,1746,9,0,0,0,0,0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0113636363636363,0.0113636363636363,0.25,1.7988636363636366,0.0113636363636363,0.0,0.0,0.0,14.238636363636363,57.65909090909091,0.4886363636363636,3.4318181818181817,2.6931818181818183,19.84090909090909,0.1022727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.25,214,9.36008064516131,23.00547945,31.239866666666696,4.43,37.0,18.0,4.47,125.0,7.09,11.648562874251494,,2006
4150,16447,13352,Matt Light,T,20010048,11,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0114285714285714,0.0057142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.8,311,9.9425,22.84383562,33.89451923076926,5.3,28.013833992094863,26.0,4.49,102.17813765182186,7.84,11.598,,2001
4151,16454,1472,Mike Bell,RB,20060542,5,0,0,0,0.0,0,0,0,0,403,1490,14,44,33,258,0,13,205,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.196428571428571,26.607142857142858,0.25,0.7857142857142857,0.5892857142857143,4.607142857142857,0.0,0.2321428571428571,3.6607142857142856,0.0,0.0,0.0,0.0,0.0,0.0178571428571428,0.0178571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.25,221,9.36008064516131,23.03287671,31.239866666666696,4.62,31.5,19.0,4.21,112.0,7.16,11.648562874251494,,2006
4152,16457,9447,Melvin Hayes,T,19950106,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.9,327,11.25,21.99726027,34.5,5.36,28.0,23.16,5.25,109.0,7.870920245398778,11.598,,1995
4153,16460,16708,Rees Odhiambo,G,20160097,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.88,314,9.864050632911392,23.6109589,32.8560810810811,5.24791469194313,27.59947643979057,23.0,4.7014606741573015,101.80434782608695,7.880350877192982,11.45,,2016
4154,16462,10636,Melvin Ingram,DE,20120018,6,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,0,0,0,33.0,173,61,1,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027027027027027,-0.0135135135135135,0.0,0.0,0.0,0.0,0.4459459459459459,2.3378378378378377,0.8243243243243243,0.0135135135135135,0.0405405405405405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.5,264,9.783040000000009,23.01643836,33.42385245901642,4.69,34.5,28.0,4.18,109.0,6.83,11.871250000000002,,2012
4155,16468,5300,Sean Davis,DB,20160058,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,107,32,2,41,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,3.566666666666667,1.0666666666666669,0.0666666666666666,1.3666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,201,9.183984771573629,22.52876712,31.42578212290497,4.46,37.5,21.0,3.97,126.0,6.64,11.498524590163932,,2016
4156,16473,21915,George Teague,DB,19930029,9,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,2.0,0,0,18,514,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069444444444444,-0.0069444444444444,0.0,0.0138888888888888,0.0,0.0,0.125,3.5694444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.3,185,8.25,22.19726027,31.63,4.567728894173599,30.5,11.0,4.190721649484534,115.0,7.042195121951221,11.498524590163932,,1993
4157,16474,213,Derrick Alexander,WR,19940029,9,0,0,0,0.0,0,0,0,0,16,210,1,814,422,7040,40,22,432,0,11,171,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.640625,0.0078125,6.359375,3.296875,55.0,0.3125,0.171875,3.375,0.0,0.0859375,1.3359375,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.1,196,8.75,22.47945205,31.5,4.5,36.0,14.915584415584416,4.19,127.0,6.993472584856398,11.44,,1994
