,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,player_id,name,position,combine_player_ids,combine_combine_ids,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_attempts,kick_return_yards,kick_return_touchdowns,punt_return_attempts,punt_return_yards,punt_return_touchdowns,defense_sacks,defense_tackles,defense_tackle_assists,defense_interceptions,defense_interception_yards,defense_interception_touchdowns,defense_safeties,point_after_attemps,point_after_makes,field_goal_attempts,field_goal_makes,punting_attempts,punting_yards,punting_blocked,heights,weights,hands,age,arm,40_dash,vertical,bench,shuttle,broad,3_cone,60_shuttle,wonderlic,Player,Pos,To,CarAV,DrAV,Age,Tm,Rnd,Pick,Year
17,14,14,53,17858,Bilal Powell,RB,20110126,17556,1,1,30,118.7,0,0,0,0,635,2785,12,272,190,1445,4,3,54,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,70.5,207,,22.51506849,,4.52,,18,,,,,,Bilal Powell,RB,2019,26,26,22,NYJ,4,126,2011
18,15,15,57,15176,Jack Mewhort,OT,20140059,18460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,78,309,,22.61917808,,5.37,26,28,4.64,100,7.79,,,,,,,,,,,,
19,16,16,62,18706,Victor Riley,T-G,19980027,13885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.6,333,10.75,23.46849315,36.13,5.55,23,23,5.02,91,8.77,,,,,,,,,,,,
20,17,17,66,1501,Jason Belser,DB,19920197,11673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,112,0,1,53,0,9.5,0,0,16,406,0,0,0,0,0,0,0,0,0,68.6,182,8.5,21.92876712,30.63,4.74,37,9,4.41,119,,11.63,,Jason Belser,DB,2002,47,44,22,IND,8,197,1992
21,18,18,70,201,Chas Alecxih,DT,20120597,17651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.75,296,,23.22191781,,5.31,25.5,19,4.62,99,7.74,,,,,,,,,,,,
22,19,19,72,1887,Eric Blount,WR,19930812,12117,0,0,0,0,0,0,0,0,6,27,1,10,8,54,0,19,414,0,22,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4,234,8.88,,32.13,4.83,31,19,,,,,,Eric Blount,WR,1993,1,1,21,PHO,8,202,1992
23,20,20,77,21480,Justin Strzelczyk,T-G,19900293,11182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.1,282,9.25,21.69041096,32.5,5.04,29,12,4.49,108,,,,,,,,,,,,,
24,21,21,79,6257,Braylon Edwards,WR,20050003,15753,0,1,0,39.6,0,0,0,0,4,11,0,770,374,5842,42,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,74.88,211,,22.18356164,,4.45,,22,,,,,,Braylon Edwards,WR,2012,41,27,22,CLE,1,3,2005
25,22,22,83,5341,Brian Dawkins,DB,19960061,13116,0,0,0,0,0,0,0,0,0,0,0,1,1,57,1,0,0,0,0,0,0,28,270,60,41,588,0,0,0,0,0,0,0,0,0,71.4,189,9,22.53424658,31.38,4.63,35,19,4.39,120,,11.6,,,,,,,,,,,
26,23,23,90,17509,Bryce Petty,QB,20150103,18807,75,133,809,354.8,3,7,13,79,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.7,230,,23.93150685,,4.87,34,,4.13,121,6.91,,,Bryce Petty,QB,2017,4,4,24,NYJ,4,103,2015
27,24,24,91,22024,Daniel Thomas,RB,20110062,17609,0,0,0,0,0,0,0,0,409,1480,10,74,55,412,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,72.25,230,,23.51232877,,4.63,,21,,,,,,Daniel Thomas,RB,2014,11,11,23,MIA,2,62,2011
28,25,25,93,18238,Keiwan Ratliff,DB,20040049,15578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,650,0,0,35,12,5,89,0,0,0,0,0,0,0,0,0,70.1,194,,23.03013699,,4.58,,11,,,,,,Keiwan Ratliff,DB,2010,9,5,23,CIN,2,49,2004
29,26,26,99,22474,Steve Trapilo,G,19870096,10242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.5,284,10.25,22.61643836,32.5,5.22,23.5,26,4.91,97,,,,Steve Trapilo,G,1992,27,27,22,NOR,4,96,1987
30,27,27,101,10604,Juaquin Iglesias,WR,20090099,16894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.88,210,,21.69041096,,4.44,34.5,,4.4,116,,,,Juaquin Iglesias,WR,2009,0,0,22,CHI,3,99,2009
31,28,28,108,14547,Todd McClure,C,19990237,14180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,73.4,298,,22.17808219,,5.25,28,29,4.51,93,7.81,,,Todd McClure,C,2012,72,72,22,ATL,7,237,1999
32,29,29,110,20742,Raonall Smith,LB,20020038,15095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,1,19,0,0,0,0,0,0,0,0,0,74.1,244,,23.50958904,,4.56,42,26,4.11,121,7.1,,,Raonall Smith,LB,2007,6,5,23,MIN,2,38,2002
33,30,30,112,15679,Evan Moore,WR,20080637,16680,0,0,0,0,0,0,0,0,0,0,0,103,63,810,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,78,233,,23.3260274,,4.78,27,16,4.43,110,7.08,,,,,,,,,,,,
34,31,31,114,24171,Marcus Williams,CB,20010427,14860,0,0,0,0,0,0,0,0,0,0,0,1,1,31,0,0,0,0,0,0,0,2.5,86,17,10,62,0,0,0,0,0,0,0,0,0,77,230,,23.37260274,,4.56,41,,4.2,130,7.37,,,,,,,,,,,,
35,32,32,132,20689,L.J. Smith,TE,20030061,15344,0,0,0,0,0,0,0,0,0,0,0,423,251,2747,19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,75.3,258,,22.96712329,,4.69,37,26,4.18,122,6.74,,,L.J. Smith,TE,2009,21,21,23,PHI,2,61,2003
36,33,33,144,16948,John Owens,TE,20020138,15063,0,0,0,0,0,0,0,0,0,0,0,42,23,199,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,75,265,,22.29041096,,4.77,38.5,21,,115,,,,John Owens,TE,2009,0,0,22,DET,5,138,2002
37,34,34,146,14520,Rolando McClain,LB,20100008,17216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,292,120,4,22,0,1,0,0,0,0,0,0,0,76,249,,20.78630137,,4.68,,24,,,,,,Rolando McClain,LB,2015,25,14,21,OAK,1,8,2010
38,35,35,149,398,Jason Andersen,G,19980211,13671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.6,314,10.25,22.63835616,33.5,5.35,29.5,21,4.5,102,8.42,,,Jason Andersen,G,2002,1,1,23,NWE,7,211,1998
39,36,36,152,11364,Melvin Johnson,DB,19950043,12898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,43,0,0,0,0,0,0,0,0,0,71.9,195,8.88,23.03287671,33.5,4.71,34.5,13,4.17,127,,11.4,,Melvin Johnson,DB,1998,13,13,23,TAM,2,43,1995
40,37,37,153,21007,C.J. Spillman,DB,20090606,17017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,17,0,0,0,0,0,0,0,0,0,0,0,72,197,,22.98630137,,4.45,41.5,,4.33,122,7.05,,,,,,,,,,,,
